08/24/25 - 01:03:52.069093 [trace] 	var scl_fChargeMeter: Number
08/24/25 - 01:03:52.069098 [trace] 	var ShoutMeterAlt_mc: Object
08/24/25 - 01:03:52.069103 [trace] 	var cfg_bHideLocations: Number
08/24/25 - 01:03:52.069108 [trace] 	var HealthMeterAnim: DisplayObject
08/24/25 - 01:03:52.069114 [trace] 	var AnimLetterInstance: DisplayObject
08/24/25 - 01:03:52.069119 [trace] 	var LevelUpInstance: DisplayObject
08/24/25 - 01:03:52.069124 [trace] 	var FloatingQuestMarker_mc: DisplayObject
08/24/25 - 01:03:52.069129 [trace] 	var CrosshairInstance: DisplayObject
08/24/25 - 01:03:52.069135 [trace] 	var cfg_bLockLocationInfo: Number
08/24/25 - 01:03:52.069140 [trace] 	var LeftChargeMeterAnim: DisplayObject
08/24/25 - 01:03:52.069145 [trace] 	var scl_fMessageInfo: Number
08/24/25 - 01:03:52.069150 [trace] 	var cfg_bLockArrowInfo: Number
08/24/25 - 01:03:52.069156 [trace] 	var cfg_sHourFormat: String
08/24/25 - 01:03:52.069161 [trace] 	var cfg_bDotCrosshair: Number
08/24/25 - 01:03:52.069166 [trace] 	var RolloverText: DisplayObject
08/24/25 - 01:03:52.069172 [trace] 	var pos_fCompassPos: Object
08/24/25 - 01:03:52.069177 [trace] 	var _shconfig: Object
08/24/25 - 01:03:52.069182 [trace] 	var cfg_sClockAlign: String
08/24/25 - 01:03:52.069188 [trace] 	var LeftChargeMeter: Object
08/24/25 - 01:03:52.069193 [trace] 	var cfg_bSyncMeterFade: Number
08/24/25 - 01:03:52.069198 [trace] 	var pos_fStaminaPos: Object
08/24/25 - 01:03:52.069204 [trace] 	var CompassFrameAlt: DisplayObject
08/24/25 - 01:03:52.069211 [trace] 	var ShoutMeterBarAlt: DisplayObject
08/24/25 - 01:03:52.069219 [trace] 	var cfg_bLockMessageInfo: Number
08/24/25 - 01:03:52.069225 [trace] 	var cfg_bHideActivateButton: Number
08/24/25 - 01:03:52.069231 [trace] 	var CompassTargetDataA: Array
08/24/25 - 01:03:52.069236 [trace] 	var cfg_bHideQuest: Number
08/24/25 - 01:03:52.069241 [trace] 	var cfg_bHideUndiscoveredLocations: Number
08/24/25 - 01:03:52.069246 [trace] 	var LeftChargeMeterAltAnim: DisplayObject
08/24/25 - 01:03:52.069252 [trace] 	var RightChargeMeterAnim: DisplayObject
08/24/25 - 01:03:52.069257 [trace] 	var TutorialHintsText: DisplayObject
08/24/25 - 01:03:52.069262 [trace] 	var RightChargeMeterAltAnim: DisplayObject
08/24/25 - 01:03:52.069267 [trace] 	var CompassMarkerQuestDoor: Number
08/24/25 - 01:03:52.069273 [trace] 	var pos_fAnimLetterPos: Object
08/24/25 - 01:03:52.069278 [trace] 	var cfg_bLockStealthMeter: Number
08/24/25 - 01:03:52.069283 [trace] 	var cfg_bLockActivatePrompt: Number
08/24/25 - 01:03:52.069289 [trace] 	var RolloverButton_tf: DisplayObject
08/24/25 - 01:03:52.069294 [trace] 	var bCrosshairEnabled: Boolean
08/24/25 - 01:03:52.069299 [trace] 	var scl_fStamina: Number
08/24/25 - 01:03:52.069304 [trace] 	var scl_fCompass: Number
08/24/25 - 01:03:52.069309 [trace] 	var CompassMarkerEnemy: Number
08/24/25 - 01:03:52.069315 [trace] 	var scl_fCompassMarker: Number
08/24/25 - 01:03:52.069320 [trace] 	var MessagesInstance: DisplayObject
08/24/25 - 01:03:52.069325 [trace] 	var cfg_bLockSubtitle: Number
08/24/25 - 01:03:52.069330 [trace] 	var cfg_sLocationInfoAlign: String
08/24/25 - 01:03:52.069335 [trace] 	var cfg_bLockStaminaMeter: Number
08/24/25 - 01:03:52.069355 [trace] 	var scl_fLevelUpMeter: Number
08/24/25 - 01:03:52.069361 [trace] 	var SubtitleText: DisplayObject
08/24/25 - 01:03:52.069367 [trace] 	var cfgVersion: Number
08/24/25 - 01:03:52.069372 [trace] 	var scl_fActivatePrompt: Number
08/24/25 - 01:03:52.069377 [trace] 	var cfg_bLockCrosshair: Number
08/24/25 - 01:03:52.069384 [trace] 	var Lock: Object
08/24/25 - 01:03:52.069389 [trace] }
08/24/25 - 01:03:52.069396 [trace] _level0.HUDMovieBaseInstance.QuestItemList: DisplayObject
08/24/25 - 01:03:52.069402 [trace] {
08/24/25 - 01:03:52.069407 [trace] 	var ShowQuest: Object
08/24/25 - 01:03:52.069413 [trace] 	var ShowAllQuests: Object
08/24/25 - 01:03:52.069418 [trace] 	var QuestItemList: Object
08/24/25 - 01:03:52.069423 [trace] 	var RemoveQuest: Object
08/24/25 - 01:03:52.069428 [trace] 	var Update: Object
08/24/25 - 01:03:52.069434 [trace] 	var RemoveAllQuests: Object
08/24/25 - 01:03:52.069439 [trace] 	var AddQuest: Object
08/24/25 - 01:03:52.069444 [trace] 	var SetQuestSide: Object
08/24/25 - 01:03:52.069449 [trace] 	var AddToHudElements: Object
08/24/25 - 01:03:52.069454 [trace] 	var SCALE: Number
08/24/25 - 01:03:52.069460 [trace] 	var ByAgeThenMiscellaneousQuests: Object
08/24/25 - 01:03:52.069465 [trace] 	var Lock: Object
08/24/25 - 01:03:52.069470 [trace] }
08/24/25 - 01:03:52.069475 [trace] 
08/24/25 - 01:03:52.070129 [debug] Relative path is "InfinityUI\HUDMenu\HUDMovieBaseInstance\CompassShoutMeterHolder\Compass.swf"
08/24/25 - 01:03:52.070143 [trace] Relative path to SWF: HUDMovieBaseInstance\CompassShoutMeterHolder\Compass.swf
08/24/25 - 01:03:52.070152 [debug] Patch found at "D:\STOCK GAME\Data\Interface\InfinityUI\HUDMenu\HUDMovieBaseInstance\CompassShoutMeterHolder\Compass.swf"
08/24/25 - 01:03:52.070293 [trace] 
08/24/25 - 01:03:52.070299 [trace] _level0.HUDMovieBaseInstance.CompassShoutMeterHolder: DisplayObject
08/24/25 - 01:03:52.070305 [trace] {
08/24/25 - 01:03:52.070311 [trace] 	var Compass: DisplayObject
08/24/25 - 01:03:52.070316 [trace] 	var ShoutMeterInstance: DisplayObject
08/24/25 - 01:03:52.070322 [trace] 	var ShoutMeterBarAlt: DisplayObject
08/24/25 - 01:03:52.070328 [trace] 	var ShoutWarningInstance: DisplayObject
08/24/25 - 01:03:52.070334 [trace] 	var ShoutWarningInstanceAlt: DisplayObject
08/24/25 - 01:03:52.070339 [trace] 	var Lock: Object
08/24/25 - 01:03:52.070344 [trace] }
08/24/25 - 01:03:52.070348 [trace] _level0.HUDMovieBaseInstance.CompassShoutMeterHolder.Compass: DisplayObject
08/24/25 - 01:03:52.070353 [trace] {
08/24/25 - 01:03:52.070357 [trace] 	var CompassFrameAlt: DisplayObject
08/24/25 - 01:03:52.070361 [trace] 	var CompassTemperatureHolderInstance: DisplayObject
08/24/25 - 01:03:52.070365 [trace] 	var CompassFrame: DisplayObject
08/24/25 - 01:03:52.070369 [trace] 	var CompassMask_mc: DisplayObject
08/24/25 - 01:03:52.070373 [trace] 	var DirectionRect: DisplayObject
08/24/25 - 01:03:52.070377 [trace] 	var instance78: DisplayObject
08/24/25 - 01:03:52.070381 [trace] 	var Lock: Object
08/24/25 - 01:03:52.070386 [trace] }
08/24/25 - 01:03:52.070390 [trace] 
08/24/25 - 01:03:52.070468 [trace] Original instance removed!
08/24/25 - 01:03:52.070473 [trace] 
08/24/25 - 01:03:52.070478 [trace] _level0.HUDMovieBaseInstance.CompassShoutMeterHolder: DisplayObject
08/24/25 - 01:03:52.070482 [trace] {
08/24/25 - 01:03:52.070486 [trace] 	var ShoutMeterInstance: DisplayObject
08/24/25 - 01:03:52.070490 [trace] 	var ShoutMeterBarAlt: DisplayObject
08/24/25 - 01:03:52.070495 [trace] 	var ShoutWarningInstance: DisplayObject
08/24/25 - 01:03:52.070499 [trace] 	var ShoutWarningInstanceAlt: DisplayObject
08/24/25 - 01:03:52.070503 [trace] 	var Lock: Object
08/24/25 - 01:03:52.070507 [trace] }
08/24/25 - 01:03:52.070511 [trace] 
08/24/25 - 01:03:52.070521 [trace] Relative path to patch is: InfinityUI\HUDMenu\HUDMovieBaseInstance\CompassShoutMeterHolder\Compass.swf
08/24/25 - 01:03:52.080116 [trace] New instance loaded!
08/24/25 - 01:03:52.080134 [trace] 
08/24/25 - 01:03:52.080145 [trace] _level0.HUDMovieBaseInstance.CompassShoutMeterHolder: DisplayObject
08/24/25 - 01:03:52.080151 [trace] {
08/24/25 - 01:03:52.080156 [trace] 	var ShoutMeterInstance: DisplayObject
08/24/25 - 01:03:52.080160 [trace] 	var ShoutMeterBarAlt: DisplayObject
08/24/25 - 01:03:52.080164 [trace] 	var ShoutWarningInstance: DisplayObject
08/24/25 - 01:03:52.080168 [trace] 	var ShoutWarningInstanceAlt: DisplayObject
08/24/25 - 01:03:52.080173 [trace] 	var Compass: DisplayObject
08/24/25 - 01:03:52.080178 [trace] 	var Lock: Object
08/24/25 - 01:03:52.080183 [trace] }
08/24/25 - 01:03:52.080188 [trace] _level0.HUDMovieBaseInstance.CompassShoutMeterHolder.Compass: DisplayObject
08/24/25 - 01:03:52.080192 [trace] {
08/24/25 - 01:03:52.080196 [trace] 	var CompassFrameAlt: DisplayObject
08/24/25 - 01:03:52.080200 [trace] 	var CompassFrame: DisplayObject
08/24/25 - 01:03:52.080204 [trace] 	var CompassTemperatureHolderInstance: DisplayObject
