[2025-08-17 22:03:57.019] [Global] [info] [40184] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AVBGSProcedureBase@@
[2025-08-17 22:03:57.019] [Global] [info] [40948] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVIProcedureTreeExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [37792] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@VBSTransformDeltaEvent@@@@
[2025-08-17 22:03:57.019] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@VbhkCharacterMoveFinishEvent@@@@
[2025-08-17 22:03:57.019] [Global] [info] [39584] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVIAnimationGraphManagerHolder@@
[2025-08-17 22:03:57.019] [Global] [info] [43048] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [39452] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVIProcedureTreeExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [35512] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVNiRefObject@@
[2025-08-17 22:03:57.019] [Global] [info] [35512] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@UBSAnimationGraphEvent@@@@
[2025-08-17 22:03:57.019] [Global] [info] [35512] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVIAnimationGraphManagerHolder@@
[2025-08-17 22:03:57.019] [Global] [info] [35512] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVMagicTarget@@
[2025-08-17 22:03:57.019] [Global] [info] [37792] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBSHandleRefObject@@
[2025-08-17 22:03:57.019] [Global] [info] [37792] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVNiRefObject@@
